year,nominal_hpi,cpi,real_hpi,yoy_nominal,yoy_real
1960,109.9765,29.575,640.3366,,
1961,109.3332,29.8917,629.8468,-0.585,-1.6382
1962,109.2403,30.25,621.857,-0.085,-1.2685
1963,109.0297,30.625,613.0583,-0.1928,-1.4149
1964,109.3283,31.0167,606.9748,0.2739,-0.9923
1965,109.0968,31.5083,596.2382,-0.2117,-1.7689
1966,107.6673,32.4583,571.2034,-1.3103,-4.1988
1967,106.2154,33.3583,548.2974,-1.3485,-4.0101
1968,104.777,34.7833,518.7137,-1.3542,-5.3956
1969,105.8,36.6833,496.6495,0.9764,-4.2536
1970,107.9825,38.825,478.9334,2.0629,-3.5671
1971,109.2622,40.4917,464.6624,1.1851,-2.9797
1972,110.1761,41.8167,453.7026,0.8364,-2.3587
1973,105.9597,44.4,410.9519,-3.827,-9.4226
1974,102.5931,49.3083,358.287,-3.1772,-12.8153
1975,102.3159,53.8167,327.3857,-0.2702,-8.6247
1976,103.8294,56.9083,314.1794,1.4792,-4.0339
1977,109.1241,60.6083,310.0426,5.0994,-1.3167
1978,116.7772,65.2333,308.2632,7.0133,-0.5739
1979,121.1648,72.575,287.4898,3.7572,-6.7389
1980,117.1243,82.4083,244.7423,-3.3347,-14.8692
1981,112.8951,90.925,213.8085,-3.6109,-12.6393
1982,108.5632,96.5,193.7263,-3.8371,-9.3926
1983,108.4075,99.6,187.4275,-0.1434,-3.2514
1984,108.8374,103.8833,180.412,0.3965,-3.743
1985,111.1625,107.5667,177.9564,2.1363,-1.3611
1986,118.7351,109.6083,186.5386,6.8122,4.8226
1987,124.7551,113.625,189.0678,5.0701,1.3559
1988,128.704,118.2583,187.4104,3.1653,-0.8766
1989,130.3293,123.9667,181.0383,1.2628,-3.4001
1990,126.0398,130.6583,166.1131,-3.2913,-8.2442
1991,119.2911,136.1917,150.831,-5.3544,-9.1998
1992,116.4011,140.3167,142.8502,-2.4227,-5.2912
1993,114.6648,144.4583,136.6849,-1.4916,-4.3159
1994,114.7165,148.225,133.2716,0.0451,-2.4972
1995,113.7253,152.3833,128.5147,-0.864,-3.5693
1996,112.9648,156.85,124.02,-0.6687,-3.4974
1997,113.7252,160.5167,122.0028,0.6731,-1.6265
1998,118.2593,163.0083,124.9277,3.9869,2.3974
1999,123.7779,166.575,127.9577,4.6665,2.4254
2000,130.1714,172.2,130.1714,5.1653,1.73
2001,136.7688,177.0667,133.0097,5.0682,2.1804
2002,145.4461,179.875,139.2401,6.3445,4.6842
2003,155.5484,183.9583,145.606,6.9458,4.5719
2004,170.406,188.8833,155.3547,9.5517,6.6953
2005,188.153,195.2917,165.9054,10.4145,6.7914
2006,194.7546,201.5917,166.3597,3.5086,0.2738
2007,185.7466,207.3424,154.2645,-4.6253,-7.2705
2008,163.0748,215.3025,130.4281,-12.2057,-15.4516
2009,148.1684,214.537,118.9287,-9.1409,-8.8167
2010,141.9608,218.0555,112.1074,-4.1896,-5.7356
2011,132.4602,224.9392,101.4036,-6.6924,-9.5478
2012,131.3843,229.5939,98.5408,-0.8123,-2.8232
2013,141.9127,232.9571,104.9007,8.0134,6.4541
2014,148.8408,236.7362,108.2656,4.8819,3.2077
2015,155.421,237.017,112.9181,4.421,4.2973
2016,161.277,240.0072,115.7128,3.7678,2.475
2017,167.0594,245.1196,117.3616,3.5854,1.4249
2018,172.518,251.1068,118.3066,3.2674,0.8052
2019,175.2939,255.6574,118.0705,1.6091,-0.1996
2020,183.6267,258.8112,122.176,4.7536,3.4772
2021,205.2081,270.9698,130.4088,11.7529,6.7385
2022,218.2527,292.6549,128.4213,6.3568,-1.5241
2023,209.3497,299.17,120.5001,-4.0792,-6.1681
